word;pronunciation;period_type
learn;/lorn/;1
build;/bold/;1
scalable;/'s-kei-le-bo_l/;1
controller;/kon-'trou-ler/;1
service;/ser-'ves/;1
modules;/'ma-yol/;1
decorators;/'de-co-rei-ror/;1
pipes;/paips/;1
guards;/gards/;1
exception;/'i-sep-chon/;1
handling;/'jen-leng/;1
building;/boulding/;1
profile;/'prou-fail/;1
feature;/fi-'cher/;1
dating;/'dei-rin/;1
modular;/'ma-yuo-lor/;1
architecture;/'ar-ki-te-chor/;1
support;/'se-port/;1
built-in;/'bolden/;1
testable;/'tes-te-bo_l/;1
developer;/di-'ve-loper/;1
developed;/de-'ve-lop/;1
Welcome;/wel-'kam/;1
looking;/'lu-king/;1
level up;/'le-vol/;1
skills;/skel/;1
beyond;/'bi-and/;1
just;/yast/;1
challenge;/cha-'ling/;1
robust;/rou-'bast/;1
 ahead;/a_-'jed/;1
quick;/kuek/;1
overview;/'ou-ver-viu/;1
